province,grain_code,cgc_class,cgc_variety,variety,acres,year
Alberta,Wheat,CNHR,AAC CONCORD,AAC CONCORD,1009,2019
Alberta,Wheat,CNHR,AC CRYSTAL,AC CRYSTAL,2613,2019
Alberta,Wheat,CNHR,AC FOREMOST,AC FOREMOST,26960,2019
Alberta,Wheat,CNHR,COLUMBUS,COLUMBUS,95,2019
Alberta,Wheat,CNHR,CONQUER,CONQUER,2175,2019
Alberta,Wheat,CNHR,FALLER,FALLER,1470,2019
Alberta,Wheat,CNHR,HARVEST,HARVEST,1196,2019
Alberta,Wheat,CNHR,KANE,KANE,148,2019
Alberta,Wheat,CNHR,KATEPWA,KATEPWA,182,2019
Alberta,Wheat,CNHR,LILLIAN,LILLIAN,2028,2019
Alberta,Wheat,CNHR,OSLO,OSLO,4376,2019
Alberta,Wheat,CPS,5700PR,5700PR,52595,2019
Alberta,Wheat,CPS,5701PR,5701PR,3982,2019
Alberta,Wheat,CPS,5702PR,5702PR,3704,2019
Alberta,Wheat,CPS,AAC CROSSFIELD,AAC CROSSFIELD,30071,2019
Alberta,Wheat,CPS,AAC CRUSADER,AAC CRUSADER,70,2019
Alberta,Wheat,CPS,AAC ENTICE,AAC ENTICE,5016,2019
Alberta,Wheat,CPS,AAC FORAY,AAC FORAY,23865,2019
Alberta,Wheat,CPS,AAC GOODWIN,AAC GOODWIN,6162,2019
Alberta,Wheat,CPS,AAC PENHOLD,AAC PENHOLD,282193,2019
Alberta,Wheat,CPS,AAC RYLEY,AAC RYLEY,10309,2019
Alberta,Wheat,CPS,CDC TERRAIN,CDC TERRAIN,195,2019
Alberta,Wheat,CPS,ENCHANT,ENCHANT,100,2019
Alberta,Wheat,CPS,SY ROWYN,SY ROWYN,17120,2019
Alberta,Wheat,CPS,SY985,SY 985,637,2019
Alberta,Wheat,CWES,BLUESKY,BLUESKY,290,2019
Alberta,Wheat,CWHWS,AAC ICEBERG,AAC ICEBERG,1110,2019
Alberta,Wheat,CWHWS,SNOWBIRD,SNOWBIRD,1733,2019
Alberta,Wheat,CWHWS,WHITEHAWK,WHITEHAWK,320,2019
Alberta,Wheat,CWRS,5500HR,5500HR,119,2019
Alberta,Wheat,CWRS,5600HR,5600HR,135,2019
Alberta,Wheat,CWRS,5604HR CL,5604HR CL,9964,2019
Alberta,Wheat,CWRS,5605HR CL,5605HR CL,16286,2019
Alberta,Wheat,CWRS,AAC ALIDA,AAC ALIDA,195,2019
Alberta,Wheat,CWRS,AAC BAILEY,AAC BAILEY,2399,2019
Alberta,Wheat,CWRS,AAC BRANDON,AAC BRANDON,1344016,2019
Alberta,Wheat,CWRS,AAC CAMERON,AAC CAMERON,14109,2019
Alberta,Wheat,CWRS,AAC CONNERY,AAC CONNERY,128458,2019
Alberta,Wheat,CWRS,AAC ELIE,AAC ELIE,418002,2019
Alberta,Wheat,CWRS,AAC LEROY,AAC LEROY,115,2019
Alberta,Wheat,CWRS,AAC REDBERRY,AAC REDBERRY,50715,2019
Alberta,Wheat,CWRS,AAC REDWATER,AAC REDWATER,105893,2019
Alberta,Wheat,CWRS,AAC STARBUCK,AAC STARBUCK,306,2019
Alberta,Wheat,CWRS,AAC TISDALE,AAC TISDALE,678,2019
Alberta,Wheat,CWRS,AAC VIEWFIELD,AAC VIEWFIELD,316931,2019
