variety,acres,grain_code,P1,P2,GP1,GP2,GP3,GP4,,,Notes
AAC BRANDON,13890623,Wheat,Superb,Osler,ND744,Grandin*2,AC Domain,AC Cobra,PT534,ND2831/Parshall//ND706,
NOT SPECIFIED,4955029.9,Wheat,,,,,,,,,
AAC VIEWFIELD,3566762,Wheat,Stettler,Glenn,Prodigy,Superb,Sumai3,Wheaton,Grandin ,ND688,
CDC LANDMARK,2465427,Wheat,Unity//Alsen/Superb,,,,,,,,VB
AAC ELIE,2012365,Wheat,,,,,,,,,
AAC PENHOLD,1148062,Wheat,,,,,,,,,
AAC REDBERRY,1044384.5,Wheat,Stettler,Glenn,,,,,,,
CDC PLENTIFUL,901261,Wheat,BW282,CDC Go,,,,,,,
STETTLER,839676,Wheat,,,,,,,,,
CARDALE,713402,Wheat,,,,,,,,,
CDC GO,697681.5,Wheat,,,,,,,,,
CARBERRY,644773,Wheat,,,,,,,,,
CDC UTMOST,620216,Wheat,,,,,,,,,
CDC STANLEY,521003,Wheat,,,,,,,,,
SADASH,457113,Wheat,,,,,,,,,
CDC ABOUND,430773,Wheat,,,,,,,,,
AAC ALIDA,420494,Wheat,,,,,,,,,
AAC CAMERON,419398,Wheat,,,,,,,,,
CDC HUGHES,398467,Wheat,,,,,,,,,
AAC STARBUCK,397657,Wheat,,,,,,,,,
CDC TITANIUM,397632,Wheat,,,,,,,,,
FALLER,350345,Wheat,,,,,,,,,
AAC WHEATLAND,342608,Wheat,,,,,,,,,
AAC CONNERY,319469,Wheat,,,,,,,,,
PASTEUR,274841,Wheat,,,,,,,,,
GLENN,269178,Wheat,,,,,,,,,
MUCHMORE,252912,Wheat,,,,,,,,,
AC ANDREW,228674,Wheat,,,,,,,,,
AAC REDWATER,215490,Wheat,,,,,,,,,
SHAW,206240,Wheat,,,,,,,,,
BOLLES,186868,Wheat,,,,,,,,,
AAC JATHARIA,181902,Wheat,,,,,,,,,
CDC VR MORRIS,163276,Wheat,,,,,,,,,
ACCELERATE,147516,Wheat,,,,,,,,,
AAC TISDALE,146387,Wheat,,,,,,,,,
SY ROWYN,139977,Wheat,,,,,,,,,
AAC WILDFIRE,136691,Wheat,,,,,,,,,
5700PR,131903,Wheat,,,,,,,,,
AAC FORAY,110333,Wheat,,,,,,,,,
AAC LEROY,106092,Wheat,,,,,,,,,
AAC GOODWIN,104360,Wheat,,,,,,,,,
AC FOREMOST,92916,Wheat,,,,,,,,,
PROSPER,91462,Wheat,,,,,,,,,
SUPERB,90949,Wheat,,,,,,,,,
AAC CROSSFIELD,88395,Wheat,,,,,,,,,
5605HR CL,87407,Wheat,,,,,,,,,
THORSBY,84705,Wheat,,,,,,,,,
AC BARRIE,81017,Wheat,,,,,,,,,
AAC GATEWAY,64916.2,Wheat,,,,,,,,,
AC CHIFFON,58840,Wheat,,,,,,,,,
GOODEVE,58603,Wheat,,,,,,,,,
EMERSON,56745,Wheat,,,,,,,,,
AC INTREPID,55557.5,Wheat,,,,,,,,,
SY TORACH,53914,Wheat,,,,,,,,,
AC SPLENDOR,53077,Wheat,,,,,,,,,
VESPER,52238,Wheat,,,,,,,,,
5604HR CL,46101,Wheat,,,,,,,,,
AAC PARAMOUNT,45739,Wheat,,,,,,,,,
WASKADA,44907,Wheat,,,,,,,,,
PARATA,44096,Wheat,,,,,,,,,
AAC PREVAIL,42468,Wheat,,,,,,,,,
CDC IMAGINE,37813,Wheat,,,,,,,,,
WR859 CL,37681,Wheat,,,,,,,,,
CDC ORTONA,36541,Wheat,,,,,,,,,
AC DOMAIN,34941,Wheat,,,,,,,,,
AAC AWESOME,32523,Wheat,,,,,,,,,
CDC ADAMANT,32316,Wheat,,,,,,,,,
AAC ELEVATE,30309,Wheat,,,,,,,,,
AAC ENTICE,29431,Wheat,,,,,,,,,
GO EARLY,29126,Wheat,,,,,,,,,
SY GABBRO,28304,Wheat,,,,,,,,,
AAC RYLEY,27037,Wheat,,,,,,,,,
MOATS,24991,Wheat,,,,,,,,,
AC CADILLAC,22004,Wheat,,,,,,,,,
RADIANT,20013,Wheat,,,,,,,,,
LILLIAN,19662,Wheat,,,,,,,,,
CONQUER,18662,Wheat,,,,,,,,,
ROBLIN,17603,Wheat,,,,,,,,,
CDC BRADWELL,16098,Wheat,,,,,,,,,
DAYBREAK,15659,Wheat,,,,,,,,,
CDC TEAL,15380,Wheat,,,,,,,,,
AC ELSA,14709,Wheat,,,,,,,,,
SY SOVITE,14241,Wheat,,,,,,,,,
OSLO,13999,Wheat,,,,,,,,,
PRODIGY,13814,Wheat,,,,,,,,,
SPARROW,13493,Wheat,,,,,,,,,
HARVEST,13289,Wheat,,,,,,,,,
ALDERON,12681,Wheat,,,,,,,,,
AC CRYSTAL,12274,Wheat,,,,,,,,,
CDC ALSASK,11234,Wheat,,,,,,,,,
5701PR,10880,Wheat,,,,,,,,,
CDC BUTEO,10397,Wheat,,,,,,,,,
AAC WARMAN,9603,Wheat,,,,,,,,,
PINTAIL,8395,Wheat,,,,,,,,,
CDC BOUNTY,8346,Wheat,,,,,,,,,
SNOWBIRD,7930,Wheat,,,,,,,,,
UNITY,7694,Wheat,,,,,,,,,
5702PR,7634,Wheat,,,,,,,,,
JAKE,7452,Wheat,,,,,,,,,
AAC WHITEFOX,6917,Wheat,,,,,,,,,
ELGIN ND,6835,Wheat,,,,,,,,,
LAURA,6827,Wheat,,,,,,,,,
AC INDUS,6621,Wheat,,,,,,,,,
AAC ICEBERG,6273,Wheat,,,,,,,,,
ELLERSLIE,5654,Wheat,,,,,,,,,
AAC GOLDRUSH,5589,Wheat,,,,,,,,,
5602HR,5422,Wheat,,,,,,,,,
ZEALAND,5381,Wheat,,,,,,,,,
CDC THRIVE,5268,Wheat,,,,,,,,,
AAC INNOVA,4955,Wheat,,,,,,,,,
AAC BAILEY,4824,Wheat,,,,,,,,,
FLOURISH,4728,Wheat,,,,,,,,,
SY CAST,4508,Wheat,,,,,,,,,
CDC TERRAIN,4020,Wheat,,,,,,,,,
AAC MAGNET,3984,Wheat,,,,,,,,,
CDC NRG003,3758,Wheat,,,,,,,,,
SY OBSIDIAN,3752,Wheat,,,,,,,,,
FIELDSTAR,3624,Wheat,,,,,,,,,
SNOWSTAR,3609,Wheat,,,,,,,,,
SY SLATE,3411,Wheat,,,,,,,,,
CDC FALCON,3053,Wheat,,,,,,,,,
AAC CIRRUS,2929,Wheat,,,,,,,,,
REDNET,2904,Wheat,,,,,,,,,
AAC W1876,2722,Wheat,,,,,,,,,
JOURNEY,2529,Wheat,,,,,,,,,
INFINITY,2466,Wheat,,,,,,,,,
COLUMBUS,2125,Wheat,,,,,,,,,
AC EATONIA,2068,Wheat,,,,,,,,,
MCKENZIE,1945,Wheat,,,,,,,,,
AAC REDSTAR,1907,Wheat,,,,,,,,,
AC VISTA,1889,Wheat,,,,,,,,,
SY RORKE,1785,Wheat,,,,,,,,,
KANE,1711,Wheat,,,,,,,,,
COLEMAN,1660,Wheat,,,,,,,,,
AAC RUSSELL,1589,Wheat,,,,,,,,,
SHELLY,1580,Wheat,,,,,,,,,
WHITEHAWK,1564,Wheat,,,,,,,,,
SY 985,1531,Wheat,,,,,,,,,
