Induction,Species,Genotype,uniqueID,response
Control,Triticale,Triticale1,110,-2.1285741689263125
Control,Triticale,Triticale1,227,-6.267132019916225
Control,Triticale,Triticale1,198,-3.1916894060287424
Control,Triticale,Triticale1,129,-3.5432776830312678
Control,Triticale,Triticale1,209,-4.17686529341511
Control,Triticale,Triticale1,127,-5.959155861694328
Control,Triticale,Triticale1,148,-3.9536767093169103
Control,Triticale,Triticale2,160,-5.2311693162068735
Control,Triticale,Triticale2,40,-3.3095894213745787
Control,Triticale,Triticale2,9,-4.0776923702274175
Control,Triticale,Triticale2,133,-4.691448857257877
Control,Triticale,Triticale2,47,-2.404199753773902
Control,Triticale,Triticale2,241,-4.7862117580343195
Control,Triticale,Triticale2,108,-4.793667036625878
Control,Triticale,Triticale3,221,-4.148836816259243
Control,Triticale,Triticale3,187,-2.8928234576085945
Control,Triticale,Triticale3,62,-4.411384394037302
Control,Triticale,Triticale3,177,-4.7131004947242445
Control,Triticale,Triticale3,137,-4.361924481483172
Control,Triticale,Triticale3,234,-4.412791895707286
Control,Triticale,Triticale3,117,-2.668419580125932
Control,Wheat,Wheat1,42,-4.430976661557581
Control,Wheat,Wheat1,202,-3.1687114871257944
Control,Wheat,Wheat1,101,-5.655374065140355
Control,Wheat,Wheat1,32,-6.7703368013800755
Control,Wheat,Wheat1,217,-4.522939792157955
Control,Wheat,Wheat1,147,-4.699318209778235
Control,Wheat,Wheat1,94,-5.178360791345359
Control,Wheat,Wheat2,54,-5.434172291965452
Control,Wheat,Wheat2,81,-6.3444421885108335
Control,Wheat,Wheat2,92,-4.897720132103431
Control,Wheat,Wheat2,43,-4.217841032195709
Control,Wheat,Wheat2,178,-6.0081225268415155
Control,Wheat,Wheat2,206,-4.393935703614293
Control,Wheat,Wheat2,97,-5.216112735836741
Control,Wheat,Wheat3,105,-3.3352262563968713
Control,Wheat,Wheat3,38,-4.993025575703924
Control,Wheat,Wheat3,190,-2.2279523568537463
Control,Wheat,Wheat3,249,-6.090554434630878
Control,Wheat,Wheat3,48,-5.695926518218284
Control,Wheat,Wheat3,205,-3.9914993667764653
Control,Wheat,Wheat3,211,-5.127555008311491
Control,Barley,Barley1,193,0.19091896574795508
Control,Barley,Barley1,82,-0.4506162041692687
Control,Barley,Barley1,183,0.5116550755531162
Control,Barley,Barley1,96,-1.323831529436222
Control,Barley,Barley1,80,0.3534859819396044
Control,Barley,Barley1,219,0.15983076444736283
Control,Barley,Barley1,18,0.427103912635435
Control,Barley,Barley2,20,0.3990267429032146
Control,Barley,Barley2,16,-0.08432681122503707
Control,Barley,Barley2,118,-0.982943616634943
Control,Barley,Barley2,223,0.15168572511934048
Control,Barley,Barley2,72,0.7390248810754766
Control,Barley,Barley2,142,-1.075115334530616
Control,Barley,Barley2,180,0.3745774240983201
Control,Barley,Barley3,181,-0.9321423768248428
Control,Barley,Barley3,203,-0.8972367048878201
Control,Barley,Barley3,109,-0.5705488100883198
Control,Barley,Barley3,218,-1.2222732141918313
Control,Barley,Barley3,247,0.34773976342392066
Control,Barley,Barley3,23,0.9184256940027147
Control,Barley,Barley3,112,-0.8255245171563271
Control,Oats,Oats1,173,-5.644208782195078
Control,Oats,Oats1,98,-4.175547003934124
Control,Oats,Oats1,64,-4.191970141210926
Control,Oats,Oats1,71,-3.6321627982520113
Control,Oats,Oats1,140,-5.017692653012673
Control,Oats,Oats1,163,-4.104385829519424
Control,Oats,Oats1,63,-4.976709972180943
Control,Oats,Oats2,45,-5.193789150575559
Control,Oats,Oats2,250,-6.650837943123645
Control,Oats,Oats2,222,-4.737467644225636
Control,Oats,Oats2,246,-6.108212778864346
Control,Oats,Oats2,49,-4.898127234308073
Control,Oats,Oats2,115,-5.155823632160302
Control,Oats,Oats2,159,-4.504521644608856
Control,Oats,Oats3,143,-4.800742746163726
Control,Oats,Oats3,119,-4.668957088035333
Control,Oats,Oats3,19,-5.0367391769361065
Control,Oats,Oats3,124,-3.4861583279601565
Control,Oats,Oats3,55,-4.96251873588347
Control,Oats,Oats3,31,-5.080189820967154
Control,Oats,Oats3,144,-6.164784686517873
MeJA,Triticale,Triticale1,27,-6.706929843528691
MeJA,Triticale,Triticale1,120,-7.627752895159462
MeJA,Triticale,Triticale1,158,-7.554855413412652
MeJA,Triticale,Triticale1,46,-8.904447785204955
MeJA,Triticale,Triticale1,161,-10.302549177128995
MeJA,Triticale,Triticale1,61,-7.480075900577322
MeJA,Triticale,Triticale1,90,-9.230072394700437
MeJA,Triticale,Triticale2,76,-8.736290824554066
MeJA,Triticale,Triticale2,201,-8.17183257566992
MeJA,Triticale,Triticale2,70,-7.785440869055915
MeJA,Triticale,Triticale2,132,-7.648481390940525
MeJA,Triticale,Triticale2,123,-7.824934085412606
MeJA,Triticale,Triticale2,13,-10.169271190383522
MeJA,Triticale,Triticale2,88,-10.872537331555922
MeJA,Triticale,Triticale3,26,-9.419582762048462
MeJA,Triticale,Triticale3,103,-10.831652485393748
MeJA,Triticale,Triticale3,197,-8.204600277795475
MeJA,Triticale,Triticale3,182,-8.433293820427926
MeJA,Triticale,Triticale3,216,-9.586446695499951
MeJA,Triticale,Triticale3,122,-8.769890950031721
MeJA,Triticale,Triticale3,111,-6.873241238008739
MeJA,Wheat,Wheat1,24,-9.283754187978014
MeJA,Wheat,Wheat1,184,-10.310341604802211
MeJA,Wheat,Wheat1,138,-9.463402097290055
MeJA,Wheat,Wheat1,2,-9.588470304060058
MeJA,Wheat,Wheat1,188,-6.81045195089848
MeJA,Wheat,Wheat1,215,-6.041402092748499
MeJA,Wheat,Wheat1,128,-10.156759569551216
MeJA,Wheat,Wheat2,145,-7.938851171462896
MeJA,Wheat,Wheat2,239,-7.911019225218351
MeJA,Wheat,Wheat2,15,-6.746214992977232
MeJA,Wheat,Wheat2,58,-8.816018267106053
MeJA,Wheat,Wheat2,134,-9.882234420009784
MeJA,Wheat,Wheat2,231,-10.614524483830428
MeJA,Wheat,Wheat2,66,-8.613070900209463
MeJA,Wheat,Wheat3,60,-9.679546776141152
MeJA,Wheat,Wheat3,84,-8.635596346002083
MeJA,Wheat,Wheat3,12,-7.39662730984672
MeJA,Wheat,Wheat3,51,-9.281423290351338
MeJA,Wheat,Wheat3,169,-8.45260326346065
MeJA,Wheat,Wheat3,8,-9.053072103728411
MeJA,Wheat,Wheat3,196,-7.2669774367073785
MeJA,Barley,Barley1,25,-3.4429313785692575
MeJA,Barley,Barley1,167,-4.279351431084288
MeJA,Barley,Barley1,225,-5.814655346332168
MeJA,Barley,Barley1,204,-3.425222473399618
MeJA,Barley,Barley1,125,-3.796628912338749
MeJA,Barley,Barley1,191,-4.290319079934324
MeJA,Barley,Barley1,164,-4.689032010922942
MeJA,Barley,Barley2,41,-4.433064681357571
MeJA,Barley,Barley2,50,-4.461876301225143
MeJA,Barley,Barley2,91,-3.5317717176224814
MeJA,Barley,Barley2,174,-5.555693461560597
MeJA,Barley,Barley2,99,-3.6138481409555254
MeJA,Barley,Barley2,153,-4.361072190653274
MeJA,Barley,Barley2,154,-3.2325883491547573
MeJA,Barley,Barley3,244,-4.14983488295378
MeJA,Barley,Barley3,126,-3.0772908499633695
MeJA,Barley,Barley3,149,-4.401896528542018
MeJA,Barley,Barley3,156,-3.455983614706089
MeJA,Barley,Barley3,251,-5.154309643248958
MeJA,Barley,Barley3,248,-4.6611073598223225
MeJA,Barley,Barley3,56,-4.552533012370791
MeJA,Oats,Oats1,34,-11.984940887297984
MeJA,Oats,Oats1,131,-11.052995962402305
MeJA,Oats,Oats1,114,-9.893798913790247
MeJA,Oats,Oats1,237,-8.772380469128253
MeJA,Oats,Oats1,171,-8.012825152607222
MeJA,Oats,Oats1,75,-7.922951287894915
MeJA,Oats,Oats1,5,-11.387370252908678
MeJA,Oats,Oats2,29,-7.3178666099247485
MeJA,Oats,Oats2,11,-7.751233245752734
MeJA,Oats,Oats2,36,-8.489582519925234
MeJA,Oats,Oats2,68,-7.90201056443035
MeJA,Oats,Oats2,74,-9.889922981611242
MeJA,Oats,Oats2,57,-9.124218438750768
MeJA,Oats,Oats2,220,-6.736224856911761
MeJA,Oats,Oats3,245,-10.184497433218578
MeJA,Oats,Oats3,3,-8.688548045445417
MeJA,Oats,Oats3,233,-9.545701000430052
MeJA,Oats,Oats3,213,-7.383688375267341
MeJA,Oats,Oats3,4,-10.209998332104927
MeJA,Oats,Oats3,179,-8.244213047200267
MeJA,Oats,Oats3,30,-10.200146380202586
Insect,Triticale,Triticale1,195,-7.988931564994072
Insect,Triticale,Triticale1,232,-6.979183234004131
Insect,Triticale,Triticale1,238,-8.06984506167763
Insect,Triticale,Triticale1,176,-8.968008033024388
Insect,Triticale,Triticale1,37,-9.078926690277898
Insect,Triticale,Triticale1,235,-9.671040365152036
Insect,Triticale,Triticale1,168,-9.288683339764411
Insect,Triticale,Triticale2,65,-5.831549787063799
Insect,Triticale,Triticale2,104,-6.939890670956556
Insect,Triticale,Triticale2,102,-8.412874300146614
Insect,Triticale,Triticale2,52,-9.491907642260832
Insect,Triticale,Triticale2,146,-10.418997658940393
Insect,Triticale,Triticale2,85,-10.005973536776583
Insect,Triticale,Triticale2,170,-9.67586680145535
Insect,Triticale,Triticale3,141,-7.813774016364382
Insect,Triticale,Triticale3,1,-6.624303158006456
Insect,Triticale,Triticale3,17,-7.1189994134380745
Insect,Triticale,Triticale3,22,-7.325819473946902
Insect,Triticale,Triticale3,69,-8.762350651420377
Insect,Triticale,Triticale3,136,-7.544964232158304
Insect,Triticale,Triticale3,175,-8.548634250631473
Insect,Wheat,Wheat1,79,-7.503190406986847
Insect,Wheat,Wheat1,67,-7.034968481686939
Insect,Wheat,Wheat1,236,-8.452862005987944
Insect,Wheat,Wheat1,53,-8.826915185092236
Insect,Wheat,Wheat1,86,-7.588458044010672
Insect,Wheat,Wheat1,186,-10.025582596344067
Insect,Wheat,Wheat1,240,-9.163307871473483
Insect,Wheat,Wheat2,139,-8.171911260453804
Insect,Wheat,Wheat2,157,-8.39759746789258
Insect,Wheat,Wheat2,107,-8.404850857563002
Insect,Wheat,Wheat2,44,-9.054793965149962
Insect,Wheat,Wheat2,87,-7.5212169336615196
Insect,Wheat,Wheat2,200,-8.68751179576311
Insect,Wheat,Wheat2,113,-9.1103372160633
Insect,Wheat,Wheat3,121,-7.339223878095351
Insect,Wheat,Wheat3,14,-8.590201810973689
Insect,Wheat,Wheat3,106,-8.145175453073126
Insect,Wheat,Wheat3,165,-8.725818132430284
Insect,Wheat,Wheat3,192,-9.178027966266853
Insect,Wheat,Wheat3,100,-6.782566971480338
Insect,Wheat,Wheat3,10,-8.887630839018291
Insect,Barley,Barley1,151,-5.452179902196735
Insect,Barley,Barley1,228,-4.334398730640585
Insect,Barley,Barley1,212,-3.80234096976457
Insect,Barley,Barley1,78,-5.478293632892819
Insect,Barley,Barley1,242,-4.8045636259600535
Insect,Barley,Barley1,39,-3.2000621321615204
Insect,Barley,Barley1,208,-3.2752761465262306
Insect,Barley,Barley2,116,-6.788254435203532
Insect,Barley,Barley2,33,-4.52017920235461
Insect,Barley,Barley2,152,-2.7452610167164435
Insect,Barley,Barley2,210,-5.56537670948118
Insect,Barley,Barley2,83,-4.130606057104165
Insect,Barley,Barley2,150,-3.7839209364245607
Insect,Barley,Barley2,207,-2.5686633594848853
Insect,Barley,Barley3,172,-5.397165714304631
Insect,Barley,Barley3,21,-3.3156836387884563
Insect,Barley,Barley3,130,-3.8288215274882376
Insect,Barley,Barley3,77,-4.216177041098499
Insect,Barley,Barley3,224,-4.198207920296141
Insect,Barley,Barley3,185,-3.9973114752941945
Insect,Barley,Barley3,89,-4.8095740626983945
Insect,Oats,Oats1,6,-9.825548931325518
Insect,Oats,Oats1,162,-8.507095165711629
Insect,Oats,Oats1,230,-7.875860572665844
Insect,Oats,Oats1,73,-9.017526421644705
Insect,Oats,Oats1,7,-9.158558587685295
Insect,Oats,Oats1,95,-7.668848838135673
Insect,Oats,Oats1,166,-10.009011168496396
Insect,Oats,Oats2,155,-7.22366090671623
Insect,Oats,Oats2,226,-9.244766584058066
Insect,Oats,Oats2,59,-9.29455878676717
Insect,Oats,Oats2,93,-9.05162335247359
Insect,Oats,Oats2,252,-9.021147533813027
Insect,Oats,Oats2,28,-7.371558399191027
Insect,Oats,Oats2,35,-10.809724621553634
Insect,Oats,Oats3,214,-7.6097659268402715
Insect,Oats,Oats3,189,-8.543862106945717
Insect,Oats,Oats3,243,-9.022918170718839
Insect,Oats,Oats3,199,-9.361888444138259
Insect,Oats,Oats3,135,-8.366349805912654
Insect,Oats,Oats3,194,-9.382875881035318
Insect,Oats,Oats3,229,-8.401303888232084
