Induction,Species,Genotype,uniqueID,Replanted,Damage_rank,Cricket_escaped,Si_ppm
Insect,Triticale,Stampeder,1,,S,,4517
Control,Oats,Camden,2,,,,3865
Control,Triticale,Pronghorn,3,,,,6133
Control,Barley,Synergy,4,,,,2374
Insect,Triticale,Pronghorn,5,,S,,3641
Control,Barley,Copeland,6,,,,2091
MeJA,Barley,Synergy,7,,,,5068
MeJA,Wheat,Landmark,9,,,,5076
Control,Barley,Synergy,11,,,,2749
Control,Triticale,Pronghorn,13,,,,2524
MeJA,Oats,Morgan,14,,,,5936
MeJA,Triticale,Tyndal,15,,,,8568
Control,Oats,Camden,18,,,,2439
MeJA,Wheat,Plentiful,19,,,,5821
MeJA,Barley,Austenson,20,,,,3383
Control,Barley,Copeland,21,,,,3526
MeJA,Oats,Morgan,22,,,,4318
Control,Oats,Summit,23,,,,3945
Insect,Wheat,Brandon,24,,S,,3992
Insect,Wheat,Brandon,25,,M,,2956
Insect,Wheat,Brandon,25,,M,,4035
MeJA,Oats,Camden,26,,,,5684
MeJA,Triticale,Tyndal,27,,,,11842
MeJA,Wheat,Landmark,29,,,,4168
MeJA,Barley,Austenson,30,,,,5262
Control,Wheat,Brandon,31,,,,7565
MeJA,Barley,Synergy,32,,,,4689
Control,Barley,Copeland,33,,,,4301
Insect,Barley,Austenson,34,,S,,5495
Insect,Oats,Summit,35,,M,,2391
MeJA,Wheat,Landmark,36,,,,6522
Insect,Wheat,Brandon,37,,S,,5718
Insect,Wheat,Plentiful,39,,S,,6938
Insect,Oats,Morgan,40,,M,,4312
MeJA,Barley,Austenson,41,,,,4066
Control,Oats,Summit,42,,,,1735
MeJA,Wheat,Landmark,43,,,,4072
MeJA,Wheat,Brandon,44,,,,7242
MeJA,Barley,Synergy,45,,,,3932
Control,Triticale,Stampeder,46,,,,3056
Insect,Barley,Synergy,49,,S,,5589
MeJA,Barley,Synergy,50,,,,3544
Control,Triticale,Stampeder,51,,,,4284
Control,Oats,Morgan,52,,,,3406
Insect,Wheat,Landmark,53,,S,,7206
Control,Barley,Copeland,54,,,,2638
Control,Barley,Copeland,54,,,,4669
Control,Barley,Synergy,55,,,,2231
Insect,Triticale,Tyndal,56,,S,,10702
MeJA,Wheat,Landmark,57,,,,5439
MeJA,Triticale,Tyndal,58,,,,9217
MeJA,Wheat,Landmark,59,,,,2876
Control,Oats,Summit,60,,,,2631
MeJA,Triticale,Stampeder,61,,,,4255
Insect,Wheat,Landmark,63,,M,,4518
Control,Wheat,Plentiful,64,,,,7206
Insect,Barley,Synergy,67,,M,,3404
Control,Oats,Summit,68,,,,4173
Control,Wheat,Brandon,69,,,,8592
MeJA,Triticale,Pronghorn,70,,,,7778
MeJA,Oats,Summit,71,,,,2747
MeJA,Oats,Summit,72,,,,2445
MeJA,Triticale,Pronghorn,73,,,,8815
Insect,Oats,Camden,74,,M,,3010
Insect,Triticale,Stampeder,75,,M,,5867
MeJA,Oats,Camden,77,,,,2486
MeJA,Oats,Camden,78,,,,2789
MeJA,Wheat,Landmark,81,,,,5004
Control,Oats,Summit,82,,,,2372
Control,Wheat,Plentiful,83,,,,5832
MeJA,Triticale,Tyndal,84,,,,6726
Control,Oats,Summit,86,,,,1843
Control,Oats,Summit,86,,,,3059
Control,Oats,Summit,86,,,,2865
MeJA,Oats,Summit,87,,,,2301
MeJA,Triticale,Pronghorn,88,,,,3439
Control,Barley,Austenson,89,,,,2535
Insect,Wheat,Plentiful,92,,S,,5548
Control,Oats,Camden,93,,,,2725
Control,Triticale,Pronghorn,94,,,,9738
MeJA,Wheat,Brandon,95,,,,6375
Control,Oats,Morgan,96,,,,3114
Insect,Triticale,Pronghorn,97,,S,,4510
Control,Oats,Camden,98,,,,2688
Control,Barley,Synergy,99,,,,2696
MeJA,Barley,Copeland,100,,,,2977
MeJA,Triticale,Stampeder,101,,,,6294
MeJA,Wheat,Plentiful,102,,,,6531
MeJA,Barley,Copeland,103,,,,1880
Control,Barley,Synergy,104,,,,2610
MeJA,Triticale,Pronghorn,105,,,,5539
MeJA,Oats,Morgan,106,,,,3018
Control,Triticale,Tyndal,107,,,,7878
Control,Triticale,Tyndal,107,,,,2433
Control,Barley,Synergy,109,,,,2951
Insect,Oats,Morgan,111,,M,,3517
Insect,Wheat,Landmark,112,,S,,3343
Insect,Oats,Morgan,113,,M,,3696
Control,Triticale,Pronghorn,115,,,,5229
Control,Triticale,Pronghorn,116,,,,6133
MeJA,Oats,Summit,117,,,,3818
Control,Wheat,Brandon,119,,,,8223
Control,Wheat,Landmark,120,,,,4381
MeJA,Wheat,Brandon,121,,,,8924
Control,Barley,Austenson,123,,,,3967
MeJA,Triticale,Pronghorn,124,,,,3996
Control,Barley,Austenson,125,,,,4056
MeJA,Wheat,Brandon,126,,,,8715
Control,Barley,Copeland,127,,,,3209
Insect,Barley,Synergy,128,,S,,4223
MeJA,Oats,Summit,129,,,,3591
Control,Wheat,Landmark,130,,,,7716
Insect,Triticale,Pronghorn,131,,S,,5990
MeJA,Oats,Morgan,132,,,,3207
MeJA,Wheat,Plentiful,134,,,,6025
MeJA,Triticale,Stampeder,136,,,,4600
Insect,Triticale,Stampeder,137,,S,,3872
Insect,Oats,Camden,138,,M,,3288
MeJA,Barley,Copeland,139,,,,2524
MeJA,Barley,Copeland,140,,,,2855
Control,Barley,Copeland,143,,,,2721
Control,Oats,Summit,144,,,,1932
Control,Triticale,Stampeder,145,,,,4309
