Induction,Species,Genotype,uniqueID,Replanted,Damage_rank,Cricket_escaped
Insect,Triticale,Stampeder,1,,S,
Control,Oats,Camden,2,,,
Control,Triticale,Pronghorn,3,,,
Control,Barley,Synergy,4,,,
Insect,Triticale,Pronghorn,5,,S,
Control,Barley,Copeland,6,,,
MeJA,Barley,Synergy,7,,,
Insect,Triticale,Tyndal,8,,N,
MeJA,Wheat,Landmark,9,,,
Insect,Triticale,Tyndal,10,,N,
Control,Barley,Synergy,11,,,
Insect,Triticale,Stampeder,12,,N,
Control,Triticale,Pronghorn,13,,,
MeJA,Oats,Morgan,14,,,
MeJA,Triticale,Tyndal,15,,,
Insect,Oats,Camden,16,,N,
Insect,Oats,Camden,17,,N,
Control,Oats,Camden,18,,,
MeJA,Wheat,Plentiful,19,,,
MeJA,Barley,Austenson,20,,,
Control,Barley,Copeland,21,,,
MeJA,Oats,Morgan,22,,,
Control,Oats,Summit,23,,,
Insect,Wheat,Brandon,24,,S,
Insect,Wheat,Brandon,25,,M,
MeJA,Oats,Camden,26,,,
MeJA,Triticale,Tyndal,27,,,
MeJA,Oats,Summit,28,,,
MeJA,Wheat,Landmark,29,,,
MeJA,Barley,Austenson,30,,,
Control,Wheat,Brandon,31,,,
MeJA,Barley,Synergy,32,,,
Control,Barley,Copeland,33,,,
Insect,Barley,Austenson,34,,S,
Insect,Oats,Summit,35,,M,
MeJA,Wheat,Landmark,36,,,
Insect,Wheat,Brandon,37,,S,
Insect,Barley,Copeland,38,,N,
Insect,Wheat,Plentiful,39,,S,
Insect,Oats,Morgan,40,,M,
MeJA,Barley,Austenson,41,,,
Control,Oats,Summit,42,,,
MeJA,Wheat,Landmark,43,,,
MeJA,Wheat,Brandon,44,,,
MeJA,Barley,Synergy,45,,,
Control,Triticale,Stampeder,46,,,
Insect,Barley,Copeland,47,,N,
Insect,Barley,Synergy,48,,N,
Insect,Barley,Synergy,49,,S,
MeJA,Barley,Synergy,50,,,
Control,Triticale,Stampeder,51,,,
Control,Oats,Morgan,52,,,
Insect,Wheat,Landmark,53,,S,
Control,Barley,Copeland,54,,,
Control,Barley,Synergy,55,,,
Insect,Triticale,Tyndal,56,,S,
MeJA,Wheat,Landmark,57,,,
MeJA,Triticale,Tyndal,58,,,
MeJA,Wheat,Landmark,59,,,
Control,Oats,Summit,60,,,
MeJA,Triticale,Stampeder,61,,,
Insect,Triticale,Stampeder,62,,N,
Insect,Wheat,Landmark,63,,M,
Control,Wheat,Plentiful,64,,,
Insect,Triticale,Tyndal,65,,N,
Insect,Wheat,Plentiful,66,,N,
Insect,Barley,Synergy,67,,M,
Control,Oats,Summit,68,,,
Control,Wheat,Brandon,69,,,
MeJA,Triticale,Pronghorn,70,,,
MeJA,Oats,Summit,71,,,
MeJA,Oats,Summit,72,,,
MeJA,Triticale,Pronghorn,73,,,
Insect,Oats,Camden,74,,M,
Insect,Triticale,Stampeder,75,,M,
Insect,Oats,Summit,76,,N,
MeJA,Oats,Camden,77,,,
MeJA,Oats,Camden,78,,,
Insect,Barley,Austenson,79,,N,
Insect,Triticale,Tyndal,80,,N,
MeJA,Wheat,Landmark,81,,,
Control,Oats,Summit,82,,,
Control,Wheat,Plentiful,83,,,
MeJA,Triticale,Tyndal,84,,,
Insect,Triticale,Tyndal,85,1,N,
Control,Oats,Summit,86,,,
MeJA,Oats,Summit,87,,,
MeJA,Triticale,Pronghorn,88,,,
Control,Barley,Austenson,89,,,
Insect,Oats,Morgan,90,,N,
Insect,Wheat,Plentiful,91,,N,
Insect,Wheat,Plentiful,92,,S,
Control,Oats,Camden,93,,,
Control,Triticale,Pronghorn,94,,,
MeJA,Wheat,Brandon,95,,,
Control,Oats,Morgan,96,,,
Insect,Triticale,Pronghorn,97,,S,
Control,Oats,Camden,98,,,
Control,Barley,Synergy,99,,,
MeJA,Barley,Copeland,100,,,
MeJA,Triticale,Stampeder,101,,,
MeJA,Wheat,Plentiful,102,,,
MeJA,Barley,Copeland,103,,,
Control,Barley,Synergy,104,,,
MeJA,Triticale,Pronghorn,105,,,
MeJA,Oats,Morgan,106,,,
Control,Triticale,Tyndal,107,,,
Control,Barley,Austenson,108,,,
Control,Barley,Synergy,109,,,
Insect,Triticale,Pronghorn,110,,N,
Insect,Oats,Morgan,111,,M,
Insect,Wheat,Landmark,112,,S,
Insect,Oats,Morgan,113,,M,
Insect,Triticale,Tyndal,114,,,
Control,Triticale,Pronghorn,115,,,
Control,Triticale,Pronghorn,116,,,
MeJA,Oats,Summit,117,,,
MeJA,Triticale,Tyndal,118,1,,
Control,Wheat,Brandon,119,,,
Control,Wheat,Landmark,120,,,
MeJA,Wheat,Brandon,121,,,
MeJA,Triticale,Tyndal,122,,,
