uniqueID,powdermassg
64,0.0749
205,0.075
81,0.0752
40,0.0752
229,0.0753
123,0.0749
27,0.0748
140,0.0749
219,0.0749
147,0.0754
225,0.0749
2,0.0747
177,0.0753
125,0.0747
204,0.0753
198,0.0751
21,0.0752
135,0.0748
242,0.0748
191,0.0747
1,0.0747
41,0.0751
24,0.0751
178,0.0751
92,0.0748
174,0.0751
195,0.0752
237,0.0714
200,0.0749
209,0.075
51,0.0751
182,0.0749
18,0.0749
109,0.0753
104,0.0747
107,0.0747
175,0.0749
127,0.075
247,0.0747
101,0.075
166,0.075
213,0.0752
84,0.0749
9,0.0749
31,0.0748
16,0.0752
196,0.0749
201,0.0753
36,0.0747
65,0.0747
33,0.0753
3,0.0749
80,0.0752
169,0.0751
121,0.075
139,0.075
88,0.0749
110,0.0753
117,0.0747
77,0.0753
87,0.0749
71,0.0753
102,0.075
60,0.0752
19,0.075
226,0.075
208,0.0748
187,0.0752
37,0.0748
91,0.0748
217,0.075
75,0.0752
39,0.0751
5,0.0752
130,0.0747
89,0.0748
111,0.0752
128,0.0749
119,0.0749
136,0.0749
52,0.0747
14,0.0753
249,0.0749
113,0.075
142,0.0749
244,0.075
69,0.0751
137,0.075
131,0.075
245,0.0751
47,0.0753
146,0.0751
223,0.075
93,0.0753
184,0.075
143,0.0748
149,0.0748
28,0.0752
44,0.0751
105,0.0749
26,0.0752
96,0.075
168,0.0753
151,0.0751
34,0.0748
162,0.075
22,0.075
13,0.0753
20,0.0752
250,0.0749
228,0.0751
30,0.0752
10,0.0749
98,0.0749
58,0.0749
129,0.0748
176,0.0751
181,0.075
222,0.0752
17,0.0751
73,0.0752
234,0.0753
21,0.075
72,0.0748
165,0.0753
203,0.0748
12,0.0748
86,0.0748
138,0.0748
185,0.0752
90,0.0751
85,0.0748
154,0.075
53,0.0752
251,0.075
106,0.075
56,0.0751
194,0.0752
76,0.0748
199,0.075
167,0.0751
35,0.0751
23,0.0749
68,0.0748
61,0.0752
79,0.075
38,0.0751
45,0.0752
188,0.075
206,0.0749
32,0.0753
70,0.0749
100,0.0748
120,0.0753
202,0.075
212,0.075
183,0.0748
150,0.0752
164,0.0749
189,0.0752
227,0.0751
170,0.075
15,0.0751
59,0.0753
99,0.0753
193,0.0747
82,0.0751
74,0.0753
42,0.0747
161,0.0749
103,0.0752
106,0.0751
220,0.0749
141,0.0753
145,0.0751
50,0.0749
230,0.0749
180,0.0751
55,0.0753
218,0.0752
6,0.0752
132,0.0751
112,0.0748
156,0.0753
54,0.0752
158,0.0751
57,0.0752
163,0.075
210,0.075
235,0.0752
4,0.075
116,0.0752
186,0.0751
126,0.0751
236,0.075
62,0.0749
173,0.0751
49,0.0751
224,0.075
67,0.0749
232,0.075
95,0.075
159,0.0751
7,0.0748
179,0.0753
78,0.0752
155,0.0752
63,0.0748
46,0.075
207,0.0747
148,0.0749
94,0.0749
233,0.0752
197,0.0751
134,0.075
248,0.0751
211,0.0751
252,0.075
8,0.075
171,0.0752
243,0.0753
238,0.0751
160,0.0751
66,0.0752
43,0.075
25,0.0753
239,0.0751
11,0.0749
97,0.0749
190,0.075
192,0.0749
48,0.0753
157,0.0749
83,0.075
29,0.075
240,0.0752
124,0.0747
115,0.075
144,0.0751
153,0.0751
152,0.0752
133,0.0753
