Induction,Species,Genotype,uniqueID,Replanted,Damage_rank,Cricket_escaped,Si_ppm,Mn_ppm,mass_g,isDamaged,mean_absorbance,nrow,powdermassg,mcabsorbance
MeJA,Oats,Camden (O),151,,,,3510,196,2.6329,,0.385466665029526,3,0.0751,5.1327119178365646
MeJA,Oats,Summit (O),129,,,,3591,171,2.7675,,0.4022666712601983,3,0.0748,5.3778966746015815
Insect,Oats,Morgan (O),40,,M,,4312,196,2.031,Damaged,0.13416666785875933,3,0.0752,1.784131221526055
Control,Barley,Austenson (B),123,,,,3967,128,4.0579,,0.15913333495457968,3,0.0749,2.1246106135457903
Control,Wheat,Brandon (W),158,,,,7971,226,1.4795,,0.1873666644096373,3,0.0751,2.4948956645757296
Control,Wheat,Landmark (W),157,,,,4468,174,2.5045,,0.3372666736443836,3,0.0749,4.502892839043841
MeJA,Triticale,Stampeder (T),136,,,,4600,262,2.5411,,0.25333333015441933,3,0.0749,3.3822874519949178
Control,Barley,Austenson (B),148,,,,4052,161,3.3554,,0.22759999831517566,3,0.0749,3.038718268560423
MeJA,Triticale,Pronghorn (T),124,,,,3996,194,3.0453,,0.16656666994094835,3,0.0747,2.229808165206805
Insect,Oats,Summit (O),35,,M,,2391,149,3.5565,Damaged,0.374766667683919,3,0.0751,4.990235255444993
Insect,Wheat,Plentiful (W),39,,S,,6938,278,2.6645,Damaged,0.8131999969482423,3,0.0751,10.828228987326796
Insect,Barley,Copeland (B),38,,N,,2213,90,4.5565,Undamaged,0.3989333411057793,3,0.0751,5.312028510063639
Insect,Wheat,Brandon (W),37,,S,,5718,228,2.4413,Damaged,0.524133324623108,3,0.0748,7.0071300083303205
Insect,Barley,Synergy (B),48,,N,,5269,108,3.6336,Undamaged,0.2697333395481107,3,0.0753,3.5821160630559183
Insect,Barley,Copeland (B),47,,N,,2626,120,2.9509,Undamaged,0.5541333357493083,3,0.0753,7.359008442885901
Insect,Barley,Synergy (B),49,,S,,5589,111,3.8467,Damaged,0.6059999863306684,3,0.0751,8.069240829968953
Insect,Triticale,Tyndal (T),56,,S,,10702,372,2.1182,Damaged,0.25596666832764964,3,0.0751,3.4083444517663066
Insect,Triticale,Stampeder (T),62,,N,,4195,187,1.8866,Undamaged,0.31663333376248665,3,0.0749,4.227414335947753
Insect,Barley,Synergy (B),67,,M,,3404,81,3.8392,Damaged,0.233133335908254,3,0.0749,3.112594604916609
Insect,Wheat,Landmark (W),63,,M,,4518,140,3.4041,Damaged,0.3225000003973643,3,0.0748,4.311497331515565
Control,Barley,Synergy (B),109,,,,2951,100,3.8857,,0.141466662287712,3,0.0753,1.878707334498167
Control,Triticale,Pronghorn (T),115,,,,5229,243,2.8657,,0.3599333365758257,3,0.075,4.799111154344343
MeJA,Wheat,Brandon (W),121,,,,8924,221,2.1209,,0.170766666531563,3,0.075,2.2768888870875066
Control,Barley,Austenson (B),245,,,,4103,108,3.7838,,0.11663333574930816,3,0.0751,1.5530404227604282
