Instrument Serial Num,Reading #,Date,Time,Method Name,User Factor Name,Test Label,Collimation Status,Latitude,Longitude, Units,Mg Compound,Mg Compound Level,Mg Compound Error,Mg Concentration,Mg Error1s,Mg User Factor Slope,Mg User Factor Offset,Al Compound,Al Compound Level,Al Compound Error,Al Concentration,Al Error1s,Al User Factor Slope,Al User Factor Offset,Si Compound,Si Compound Level,Si Compound Error,Si Concentration,Si Error1s,Si User Factor Slope,Si User Factor Offset,P Compound,P Compound Level,P Compound Error,P Concentration,P Error1s,P User Factor Slope,P User Factor Offset,S Compound,S Compound Level,S Compound Error,S Concentration,S Error1s,S User Factor Slope,S User Factor Offset,K Compound,K Compound Level,K Compound Error,K Concentration,K Error1s,K User Factor Slope,K User Factor Offset,Ca Compound,Ca Compound Level,Ca Compound Error,Ca Concentration,Ca Error1s,Ca User Factor Slope,Ca User Factor Offset,Ti Compound,Ti Compound Level,Ti Compound Error,Ti Concentration,Ti Error1s,Ti User Factor Slope,Ti User Factor Offset,V Compound,V Compound Level,V Compound Error,V Concentration,V Error1s,V User Factor Slope,V User Factor Offset,Cr Compound,Cr Compound Level,Cr Compound Error,Cr Concentration,Cr Error1s,Cr User Factor Slope,Cr User Factor Offset,Mn Compound,Mn Compound Level,Mn Compound Error,Mn Concentration,Mn Error1s,Mn User Factor Slope,Mn User Factor Offset,Fe Compound,Fe Compound Level,Fe Compound Error,Fe Concentration,Fe Error1s,Fe User Factor Slope,Fe User Factor Offset,Co Compound,Co Compound Level,Co Compound Error,Co Concentration,Co Error1s,Co User Factor Slope,Co User Factor Offset,Ni Compound,Ni Compound Level,Ni Compound Error,Ni Concentration,Ni Error1s,Ni User Factor Slope,Ni User Factor Offset,Cu Compound,Cu Compound Level,Cu Compound Error,Cu Concentration,Cu Error1s,Cu User Factor Slope,Cu User Factor Offset,Zn Compound,Zn Compound Level,Zn Compound Error,Zn Concentration,Zn Error1s,Zn User Factor Slope,Zn User Factor Offset,As Compound,As Compound Level,As Compound Error,As Concentration,As Error1s,As User Factor Slope,As User Factor Offset,Se Compound,Se Compound Level,Se Compound Error,Se Concentration,Se Error1s,Se User Factor Slope,Se User Factor Offset,Rb Compound,Rb Compound Level,Rb Compound Error,Rb Concentration,Rb Error1s,Rb User Factor Slope,Rb User Factor Offset,Sr Compound,Sr Compound Level,Sr Compound Error,Sr Concentration,Sr Error1s,Sr User Factor Slope,Sr User Factor Offset,Y Compound,Y Compound Level,Y Compound Error,Y Concentration,Y Error1s,Y User Factor Slope,Y User Factor Offset,Zr Compound,Zr Compound Level,Zr Compound Error,Zr Concentration,Zr Error1s,Zr User Factor Slope,Zr User Factor Offset,Nb Compound,Nb Compound Level,Nb Compound Error,Nb Concentration,Nb Error1s,Nb User Factor Slope,Nb User Factor Offset,Mo Compound,Mo Compound Level,Mo Compound Error,Mo Concentration,Mo Error1s,Mo User Factor Slope,Mo User Factor Offset,Ag Compound,Ag Compound Level,Ag Compound Error,Ag Concentration,Ag Error1s,Ag User Factor Slope,Ag User Factor Offset,Cd Compound,Cd Compound Level,Cd Compound Error,Cd Concentration,Cd Error1s,Cd User Factor Slope,Cd User Factor Offset,Sn Compound,Sn Compound Level,Sn Compound Error,Sn Concentration,Sn Error1s,Sn User Factor Slope,Sn User Factor Offset,Sb Compound,Sb Compound Level,Sb Compound Error,Sb Concentration,Sb Error1s,Sb User Factor Slope,Sb User Factor Offset,Ba Compound,Ba Compound Level,Ba Compound Error,Ba Concentration,Ba Error1s,Ba User Factor Slope,Ba User Factor Offset,W Compound,W Compound Level,W Compound Error,W Concentration,W Error1s,W User Factor Slope,W User Factor Offset,Hg Compound,Hg Compound Level,Hg Compound Error,Hg Concentration,Hg Error1s,Hg User Factor Slope,Hg User Factor Offset,Pb Compound,Pb Compound Level,Pb Compound Error,Pb Concentration,Pb Error1s,Pb User Factor Slope,Pb User Factor Offset,Bi Compound,Bi Compound Level,Bi Compound Error,Bi Concentration,Bi Error1s,Bi User Factor Slope,Bi User Factor Offset,Th Compound,Th Compound Level,Th Compound Error,Th Concentration,Th Error1s,Th User Factor Slope,Th User Factor Offset,U Compound,U Compound Level,U Compound Error,U Concentration,U Error1s,U User Factor Slope,U User Factor Offset,LE Compound,LE Compound Level,LE Compound Error,LE Concentration,LE Error1s,LE User Factor Slope,LE User Factor Offset,Sample ID,Sample Type,Project,User,Real Time 1,Real Time 2
843772,4,2023-03-14,10:20:26,Geochem(3-Beam),,4 [Col],Yes,,,PPM,,,,11633,929,1,0,,,,1894,274,1,0,,,,1843,50,1,0,,,,7112,38,1,0,,,,8371,39,1,0,,,,88636,287,1,0,,,,6656,34,1,0,,,,309,51,1,0,,,,<LOD,46,1,0,,,,<LOD,45,1,0,,,,144,7,1,0,,,,151,6,1,0,,,,28,3,1,0,,,,<LOD,9,1,0,,,,46,2,1,0,,,,81,2,1,0,,,,<LOD,3,1,0,,,,4,0,1,0,,,,93,1,1,0,,,,48,1,1,0,,,,<LOD,5,1,0,,,,14,1,1,0,,,,5,1,1,0,,,,16,1,1,0,,,,<LOD,22,1,0,,,,14,4,1,0,,,,<LOD,30,1,0,,,,72,7,1,0,,,,492,88,1,0,,,,<LOD,15,1,0,,,,<LOD,13,1,0,,,,<LOD,5,1,0,,,,<LOD,46,1,0,,,,9,2,1,0,,,,<LOD,9,1,0,,,,872328,944,1,0,86,Core,IPH_Induction,IPH,15,45
843772,6,2023-03-14,10:22:31,Geochem(3-Beam),,6,No,,,PPM,,,,8297,802,1,0,,,,955,220,1,0,,,,3338,47,1,0,,,,10833,43,1,0,,,,8001,32,1,0,,,,76453,208,1,0,,,,5610,26,1,0,,,,<LOD,241,1,0,,,,<LOD,44,1,0,,,,<LOD,29,1,0,,,,118,7,1,0,,,,119,6,1,0,,,,<LOD,12,1,0,,,,<LOD,7,1,0,,,,21,2,1,0,,,,68,2,1,0,,,,<LOD,3,1,0,,,,<LOD,2,1,0,,,,38,1,1,0,,,,24,1,1,0,,,,<LOD,4,1,0,,,,<LOD,5,1,0,,,,<LOD,5,1,0,,,,5,1,1,0,,,,<LOD,18,1,0,,,,<LOD,19,1,0,,,,<LOD,24,1,0,,,,<LOD,33,1,0,,,,<LOD,829,1,0,,,,<LOD,9,1,0,,,,<LOD,8,1,0,,,,<LOD,4,1,0,,,,<LOD,39,1,0,,,,14,2,1,0,,,,9,1,1,0,,,,886098,799,1,0,197,Powder,IPH_Induction,IPH,15,45
843772,7,2023-03-14,10:24:13,Geochem(3-Beam),,7,No,,,PPM,,,,17954,1013,1,0,,,,3042,289,1,0,,,,3059,55,1,0,,,,9151,43,1,0,,,,12425,50,1,0,,,,119171,369,1,0,,,,10900,47,1,0,,,,<LOD,192,1,0,,,,<LOD,59,1,0,,,,<LOD,38,1,0,,,,127,9,1,0,,,,134,7,1,0,,,,<LOD,16,1,0,,,,<LOD,8,1,0,,,,27,2,1,0,,,,69,2,1,0,,,,<LOD,4,1,0,,,,<LOD,3,1,0,,,,81,1,1,0,,,,41,1,1,0,,,,<LOD,6,1,0,,,,<LOD,7,1,0,,,,<LOD,6,1,0,,,,<LOD,8,1,0,,,,<LOD,22,1,0,,,,<LOD,23,1,0,,,,<LOD,30,1,0,,,,<LOD,40,1,0,,,,<LOD,1107,1,0,,,,<LOD,13,1,0,,,,<LOD,11,1,0,,,,<LOD,5,1,0,,,,<LOD,49,1,0,,,,24,2,1,0,,,,10,1,1,0,,,,823784,1019,1,0,133,Powder,IPH_Induction,IPH,15,45
843772,8,2023-03-14,10:25:31,Geochem(3-Beam),,8,No,,,PPM,,,,10404,852,1,0,,,,1309,230,1,0,,,,4754,54,1,0,,,,10143,42,1,0,,,,8430,35,1,0,,,,79367,223,1,0,,,,7187,30,1,0,,,,<LOD,246,1,0,,,,<LOD,49,1,0,,,,<LOD,32,1,0,,,,143,8,1,0,,,,129,6,1,0,,,,<LOD,12,1,0,,,,<LOD,6,1,0,,,,27,2,1,0,,,,74,2,1,0,,,,<LOD,3,1,0,,,,<LOD,2,1,0,,,,38,1,1,0,,,,36,1,1,0,,,,<LOD,5,1,0,,,,<LOD,6,1,0,,,,<LOD,5,1,0,,,,5,1,1,0,,,,<LOD,19,1,0,,,,<LOD,19,1,0,,,,<LOD,25,1,0,,,,<LOD,34,1,0,,,,<LOD,889,1,0,,,,<LOD,11,1,0,,,,<LOD,9,1,0,,,,<LOD,4,1,0,,,,<LOD,42,1,0,,,,24,2,1,0,,,,12,1,1,0,,,,877918,847,1,0,194,Powder,IPH_Induction,IPH,15,45
843772,9,2023-03-14,10:27:04,Geochem(3-Beam),,9,No,,,PPM,,,,17667,875,1,0,,,,2613,243,1,0,,,,2941,48,1,0,,,,7861,36,1,0,,,,9852,38,1,0,,,,92047,257,1,0,,,,12847,45,1,0,,,,<LOD,186,1,0,,,,<LOD,50,1,0,,,,<LOD,33,1,0,,,,104,7,1,0,,,,100,6,1,0,,,,<LOD,13,1,0,,,,<LOD,7,1,0,,,,23,2,1,0,,,,72,2,1,0,,,,<LOD,3,1,0,,,,<LOD,2,1,0,,,,79,1,1,0,,,,64,1,1,0,,,,<LOD,5,1,0,,,,<LOD,6,1,0,,,,<LOD,5,1,0,,,,4,1,1,0,,,,<LOD,20,1,0,,,,<LOD,21,1,0,,,,<LOD,28,1,0,,,,<LOD,37,1,0,,,,<LOD,951,1,0,,,,<LOD,11,1,0,,,,<LOD,9,1,0,,,,<LOD,4,1,0,,,,<LOD,42,1,0,,,,11,2,1,0,,,,3,1,1,0,,,,853713,876,1,0,161,Powder,IPH_Induction,IPH,15,45
843772,10,2023-03-14,10:28:28,Geochem(3-Beam),,10,No,,,PPM,,,,10673,825,1,0,,,,1468,227,1,0,,,,2329,44,1,0,,,,12566,48,1,0,,,,15663,52,1,0,,,,86072,236,1,0,,,,9149,35,1,0,,,,<LOD,201,1,0,,,,<LOD,49,1,0,,,,<LOD,32,1,0,,,,149,8,1,0,,,,97,6,1,0,,,,<LOD,12,1,0,,,,<LOD,7,1,0,,,,20,2,1,0,,,,74,2,1,0,,,,<LOD,3,1,0,,,,<LOD,2,1,0,,,,50,1,1,0,,,,40,1,1,0,,,,<LOD,5,1,0,,,,<LOD,6,1,0,,,,<LOD,5,1,0,,,,8,1,1,0,,,,<LOD,19,1,0,,,,<LOD,20,1,0,,,,<LOD,26,1,0,,,,<LOD,35,1,0,,,,<LOD,885,1,0,,,,<LOD,10,1,0,,,,<LOD,8,1,0,,,,<LOD,4,1,0,,,,<LOD,41,1,0,,,,19,2,1,0,,,,5,1,1,0,,,,861618,826,1,0,163,Powder,IPH_Induction,IPH,15,45
843772,11,2023-03-14,10:29:48,Geochem(3-Beam),,11,No,,,PPM,,,,15703,896,1,0,,,,2709,253,1,0,,,,3078,50,1,0,,,,7833,36,1,0,,,,11150,43,1,0,,,,97512,278,1,0,,,,9140,37,1,0,,,,<LOD,195,1,0,,,,<LOD,56,1,0,,,,<LOD,34,1,0,,,,105,8,1,0,,,,122,6,1,0,,,,13,3,1,0,,,,<LOD,7,1,0,,,,27,2,1,0,,,,61,2,1,0,,,,<LOD,3,1,0,,,,<LOD,2,1,0,,,,74,1,1,0,,,,39,1,1,0,,,,<LOD,5,1,0,,,,<LOD,6,1,0,,,,<LOD,5,1,0,,,,<LOD,7,1,0,,,,<LOD,20,1,0,,,,<LOD,21,1,0,,,,<LOD,28,1,0,,,,<LOD,37,1,0,,,,<LOD,998,1,0,,,,<LOD,11,1,0,,,,<LOD,10,1,0,,,,<LOD,5,1,0,,,,<LOD,43,1,0,,,,14,2,1,0,,,,6,1,1,0,,,,852414,897,1,0,209,Powder,IPH_Induction,IPH,15,45
843772,12,2023-03-14,10:31:08,Geochem(3-Beam),,12,No,,,PPM,,,,17371,931,1,0,,,,2064,230,1,0,,,,8568,71,1,0,,,,14279,57,1,0,,,,11828,46,1,0,,,,72610,214,1,0,,,,27157,85,1,0,,,,<LOD,220,1,0,,,,<LOD,53,1,0,,,,<LOD,34,1,0,,,,261,10,1,0,,,,171,7,1,0,,,,<LOD,14,1,0,,,,<LOD,8,1,0,,,,24,2,1,0,,,,151,3,1,0,,,,<LOD,3,1,0,,,,<LOD,2,1,0,,,,48,1,1,0,,,,77,1,1,0,,,,<LOD,5,1,0,,,,<LOD,6,1,0,,,,<LOD,6,1,0,,,,6,1,1,0,,,,<LOD,20,1,0,,,,<LOD,21,1,0,,,,<LOD,27,1,0,,,,<LOD,36,1,0,,,,<LOD,958,1,0,,,,<LOD,13,1,0,,,,<LOD,10,1,0,,,,4,1,1,0,,,,<LOD,45,1,0,,,,21,2,1,0,,,,13,1,1,0,,,,845347,927,1,0,15,Powder,IPH_Induction,IPH,15,45
843772,13,2023-03-14,10:32:30,Geochem(3-Beam),,13,No,,,PPM,,,,11963,842,1,0,,,,1397,219,1,0,,,,10073,71,1,0,,,,10885,45,1,0,,,,9408,37,1,0,,,,72919,204,1,0,,,,14887,48,1,0,,,,<LOD,234,1,0,,,,<LOD,47,1,0,,,,<LOD,32,1,0,,,,209,9,1,0,,,,140,6,1,0,,,,<LOD,13,1,0,,,,<LOD,7,1,0,,,,20,2,1,0,,,,78,2,1,0,,,,<LOD,3,1,0,,,,<LOD,2,1,0,,,,41,1,1,0,,,,54,1,1,0,,,,<LOD,5,1,0,,,,<LOD,6,1,0,,,,<LOD,5,1,0,,,,5,1,1,0,,,,<LOD,19,1,0,,,,<LOD,19,1,0,,,,<LOD,25,1,0,,,,<LOD,34,1,0,,,,<LOD,846,1,0,,,,<LOD,11,1,0,,,,<LOD,9,1,0,,,,<LOD,4,1,0,,,,<LOD,42,1,0,,,,22,2,1,0,,,,10,1,1,0,,,,867891,840,1,0,227,Powder,IPH_Induction,IPH,15,45
843772,14,2023-03-14,10:34:30,Geochem(3-Beam),,14,No,,,PPM,,,,12601,849,1,0,,,,1143,235,1,0,,,,2725,46,1,0,,,,12161,48,1,0,,,,16076,55,1,0,,,,93163,260,1,0,,,,10070,38,1,0,,,,<LOD,191,1,0,,,,<LOD,50,1,0,,,,<LOD,33,1,0,,,,221,9,1,0,,,,132,6,1,0,,,,<LOD,13,1,0,,,,<LOD,7,1,0,,,,26,2,1,0,,,,81,2,1,0,,,,<LOD,3,1,0,,,,<LOD,2,1,0,,,,58,1,1,0,,,,43,1,1,0,,,,<LOD,5,1,0,,,,<LOD,6,1,0,,,,<LOD,5,1,0,,,,11,1,1,0,,,,<LOD,20,1,0,,,,<LOD,20,1,0,,,,<LOD,27,1,0,,,,<LOD,36,1,0,,,,<LOD,947,1,0,,,,<LOD,11,1,0,,,,<LOD,9,1,0,,,,<LOD,4,1,0,,,,<LOD,42,1,0,,,,18,2,1,0,,,,7,1,1,0,,,,851464,854,1,0,154,Powder,IPH_Induction,IPH,15,45
